id,species,BI,primary,secondary,tertiary,quaternary,double bond,cyclo-ring,benzene ring,Temp,CH4,C2H4,C3H6,CO,H2,CO2,Fuel
2,FGC,0.4,3.687,1.73,0.643,0.546,0,0,0.048,770,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0025
2,FGC,0.4,3.687,1.73,0.643,0.546,0,0,0.048,800,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.64E-06,0.002595971
2,FGC,0.4,3.687,1.73,0.643,0.546,0,0,0.048,830,0.00E+00,5.31E-06,5.61E-06,3.81E-05,0.00E+00,1.09E-05,0.002425625
2,FGC,0.4,3.687,1.73,0.643,0.546,0,0,0.048,860,1.75E-05,2.96E-05,2.97E-05,1.14E-04,0.00E+00,1.99E-05,0.002460326
2,FGC,0.4,3.687,1.73,0.643,0.546,0,0,0.048,890,5.53E-05,1.11E-04,1.03E-04,1.52E-04,1.28E-05,2.89E-05,0.002079358
2,FGC,0.4,3.687,1.73,0.643,0.546,0,0,0.048,920,1.83E-04,3.26E-04,2.81E-04,4.08E-04,1.22E-04,4.51E-05,0.001558467
2,FGC,0.4,3.687,1.73,0.643,0.546,0,0,0.048,950,3.73E-04,6.19E-04,4.11E-04,1.14E-03,2.84E-04,6.67E-05,0.000946039
2,FGC,0.4,3.687,1.73,0.643,0.546,0,0,0.048,980,6.09E-04,9.35E-04,4.22E-04,2.36E-03,6.55E-04,1.48E-04,0.000476634
2,FGC,0.4,3.687,1.73,0.643,0.546,0,0,0.048,1010,7.77E-04,1.12E-03,2.95E-04,4.01E-03,1.08E-03,3.26E-04,0.000195563
1,FGA,0.41,4.023,1.683,0.823,0.6,0,0,0,7.70E+02,0.00E+00,0.00E+00,1.30E-06,0.00E+00,0.00E+00,7.21E-07,0.0025
1,FGA,0.41,4.023,1.683,0.823,0.6,0,0,0,8.00E+02,0.00E+00,0.00E+00,0.00E+00,3.28E-06,0.00E+00,4.14E-06,0.002667951
1,FGA,0.41,4.023,1.683,0.823,0.6,0,0,0,8.30E+02,2.74E-06,1.08E-05,1.28E-05,3.28E-06,0.00E+00,5.65E-06,0.002629791
1,FGA,0.41,4.023,1.683,0.823,0.6,0,0,0,8.60E+02,3.61E-05,6.62E-05,6.99E-05,2.56E-05,0.00E+00,9.25E-06,0.002398413
1,FGA,0.41,4.023,1.683,0.823,0.6,0,0,0,8.90E+02,8.89E-05,1.55E-04,1.63E-04,1.07E-04,6.83E-05,1.25E-05,0.002076185
1,FGA,0.41,4.023,1.683,0.823,0.6,0,0,0,9.20E+02,1.97E-04,2.99E-04,2.92E-04,3.46E-04,1.56E-04,2.04E-05,0.001581461
1,FGA,0.41,4.023,1.683,0.823,0.6,0,0,0,9.50E+02,4.23E-04,5.98E-04,4.49E-04,1.17E-03,3.79E-04,5.71E-05,0.000917008
1,FGA,0.41,4.023,1.683,0.823,0.6,0,0,0,9.80E+02,7.15E-04,9.51E-04,4.66E-04,2.62E-03,7.11E-04,1.55E-04,0.000362492
1,FGA,0.41,4.023,1.683,0.823,0.6,0,0,0,1.01E+03,9.08E-04,1.16E-03,3.23E-04,4.41E-03,1.28E-03,3.52E-04,0.000136184
3,FGF,0.5,3.163,1.925,0.605,0.437,0.084,0,0.084,770,0,0,0,6.56E-07,0,5.41E-07,0.0025
3,FGF,0.5,3.163,1.925,0.605,0.437,0.084,0,0.084,800,0,0,9.24E-07,3.28E-06,0,-6.01E-08,0.002378566
3,FGF,0.5,3.163,1.925,0.605,0.437,0.084,0,0.084,830,2.98E-06,1.34E-05,1.45E-05,4.59E-06,0,3.60E-06,0.002345387
3,FGF,0.5,3.163,1.925,0.605,0.437,0.084,0,0.084,860,2.80E-05,6.12E-05,5.67E-05,3.48E-05,0,5.05E-06,0.002090419
3,FGF,0.5,3.163,1.925,0.605,0.437,0.084,0,0.084,890,6.28E-05,0.000131109,0.000116551,0.00010105,5.71E-05,9.73E-06,0.001944296
3,FGF,0.5,3.163,1.925,0.605,0.437,0.084,0,0.084,920,0.00013678,0.000262218,0.000222106,0.000311024,0.000121795,2.33E-05,0.001461521
3,FGF,0.5,3.163,1.925,0.605,0.437,0.084,0,0.084,950,0.000329516,0.000551331,0.000376042,0.001062336,0.000235604,5.21E-05,0.000977952
3,FGF,0.5,3.163,1.925,0.605,0.437,0.084,0,0.084,980,0.000534686,0.000823635,0.000389236,0.002224409,0.000567047,0.000120008,0.000442093
3,FGF,0.5,3.163,1.925,0.605,0.437,0.084,0,0.084,1010,0.00077716,0.001102662,0.000312269,0.003959318,0.001006309,0.000279779,0.000177504
4,FGG,0.65,2.451,1.729,0.373,0.18,0.081,0,0.317,770,0,0,0,4.27E-05,0,0,0.002515168
4,FGG,0.65,2.451,1.729,0.373,0.18,0.081,0,0.317,800,0,0,0,4.33E-05,0,0,0.002402602
4,FGG,0.65,2.451,1.729,0.373,0.18,0.081,0,0.317,830,0,0,0,4.63E-05,0,0,0.002533424
4,FGG,0.65,2.451,1.729,0.373,0.18,0.081,0,0.317,860,0,1.11E-05,1.25E-05,5.71E-05,0,0,0.002267181
4,FGG,0.65,2.451,1.729,0.373,0.18,0.081,0,0.317,890,2.19E-05,4.91E-05,4.46E-05,9.84E-05,0,6.61E-05,0.002090333
4,FGG,0.65,2.451,1.729,0.373,0.18,0.081,0,0.317,920,6.22E-05,0.000147918,0.000116551,0.000230971,5.87E-05,0,0.001821074
4,FGG,0.65,2.451,1.729,0.373,0.18,0.081,0,0.317,950,0.000138024,0.000312645,0.000208912,0.000593832,0.000155738,0,0.001337568
4,FGG,0.65,2.451,1.729,0.373,0.18,0.081,0,0.317,980,0.000317081,0.000618567,0.000294676,0.00163189,0.000419295,0.000210225,0.000825852
4,FGG,0.65,2.451,1.729,0.373,0.18,0.081,0,0.317,1010,0.00047873,0.000843805,0.000228704,0.00324252,0.000830604,0.000274494,0.000410681
5,FGI,0.35,3.18,2.34,0.72,0.34,0.06,0,0.04,7.70E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0025
5,FGI,0.35,3.18,2.34,0.72,0.34,0.06,0,0.04,8.00E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.002504638
5,FGI,0.35,3.18,2.34,0.72,0.34,0.06,0,0.04,8.30E+02,0.00E+00,6.86E-06,7.10E-06,0.00E+00,0.00E+00,5.23E-06,0.002514411
5,FGI,0.35,3.18,2.34,0.72,0.34,0.06,0,0.04,8.60E+02,2.36E-05,5.82E-05,4.99E-05,1.12E-05,0.00E+00,6.19E-06,0.002183163
5,FGI,0.35,3.18,2.34,0.72,0.34,0.06,0,0.04,8.90E+02,7.90E-05,2.02E-04,1.63E-04,6.56E-05,5.31E-05,8.65E-06,0.001985726
5,FGI,0.35,3.18,2.34,0.72,0.34,0.06,0,0.04,9.20E+02,1.71E-04,4.03E-04,2.92E-04,2.99E-04,1.20E-04,1.29E-05,0.001404063
5,FGI,0.35,3.18,2.34,0.72,0.34,0.06,0,0.04,9.50E+02,3.92E-04,7.87E-04,4.55E-04,1.10E-03,3.67E-04,3.03E-05,0.000844189
5,FGI,0.35,3.18,2.34,0.72,0.34,0.06,0,0.04,9.80E+02,6.34E-04,1.16E-03,4.55E-04,2.52E-03,7.03E-04,1.22E-04,0.000383956
5,FGI,0.35,3.18,2.34,0.72,0.34,0.06,0,0.04,1.01E+03,7.83E-04,1.28E-03,2.88E-04,4.33E-03,1.10E-03,3.23E-04,0.000132239
6,FGJ,0.56,2.91,2.28,0.35,0.12,0,0,0.3,770,0.00E+00,0.00E+00,0.00E+00,1.31E-06,0.00E+00,0.00E+00,0.002525
6,FGJ,0.56,2.91,2.28,0.35,0.12,0,0,0.3,800,0.00E+00,0.00E+00,0.00E+00,6.56E-06,0.00E+00,1.20E-05,0.002680261
6,FGJ,0.56,2.91,2.28,0.35,0.12,0,0,0.3,830,0.00E+00,3.60E-06,4.29E-06,1.25E-05,0.00E+00,2.04E-05,0.002567798
6,FGJ,0.56,2.91,2.28,0.35,0.12,0,0,0.3,860,1.36E-05,3.06E-05,2.11E-05,1.64E-05,0.00E+00,2.94E-05,0.002565331
6,FGJ,0.56,2.91,2.28,0.35,0.12,0,0,0.3,890,4.10E-05,1.18E-04,7.48E-05,4.66E-05,0.00E+00,3.96E-05,0.002212924
6,FGJ,0.56,2.91,2.28,0.35,0.12,0,0,0.3,920,1.23E-04,3.50E-04,2.02E-04,2.72E-04,8.03E-05,7.27E-05,0.001899207
6,FGJ,0.56,2.91,2.28,0.35,0.12,0,0,0.3,950,2.55E-04,6.82E-04,3.28E-04,8.83E-04,2.00E-04,1.26E-04,0.001204872
6,FGJ,0.56,2.91,2.28,0.35,0.12,0,0,0.3,980,4.73E-04,1.10E-03,3.67E-04,2.34E-03,4.59E-04,1.99E-04,0.000548707
6,FGJ,0.56,2.91,2.28,0.35,0.12,0,0,0.3,1010,7.09E-04,1.38E-03,2.68E-04,4.62E-03,1.02E-03,3.80E-04,0.000222244
7,n-butane,0,2,2,0,0,0,0,0,750,0,0,0,0,0,,0.0025
7,n-butane,0,2,2,0,0,0,0,0,780,0,0,0,0,0,,0.00258933
7,n-butane,0,2,2,0,0,0,0,0,810,0,0,0,0,0,,0.002593052
7,n-butane,0,2,2,0,0,0,0,0,840,0,0,0,0,0,,0.00257072
7,n-butane,0,2,2,0,0,0,0,0,870,0,0,0,0,0,,0.002584367
7,n-butane,0,2,2,0,0,0,0,0,900,1.26E-05,1.40E-05,1.29E-05,0,0,,0.002540943
7,n-butane,0,2,2,0,0,0,0,0,930,4.59E-05,6.23E-05,5.51E-05,0,0,,0.002492556
7,n-butane,0,2,2,0,0,0,0,0,960,0.00010102,0.000191667,0.000147826,2.68E-05,6.75E-05,,0.002259305
7,n-butane,0,2,2,0,0,0,0,0,990,0.000217687,0.00045625,0.000276812,0.000127767,0.000200435,,0.001841191
7,n-butane,0,2,2,0,0,0,0,0,1020,0.000408163,0.000929167,0.000391304,0.0005,0.000424606,,0.001296526
7,n-butane,0,2,2,0,0,0,0,0,1050,0.000653061,0.001460417,0.000356522,0.001567404,0.000901958,,0.000646402
7,n-butane,0,2,2,0,0,0,0,0,1080,0.000860544,0.001541667,0.000162319,0.004097586,0.001748533,,0.00017866
8,cyclopentane,0.5,0,5,0,0,0,1,0,750,0,0,0,0,0,,0.0025
8,cyclopentane,0.5,0,5,0,0,0,1,0,780,0,0,0,0,0,,0.002513834
8,cyclopentane,0.5,0,5,0,0,0,1,0,810,0,0,0,0,0,,0.002272727
8,cyclopentane,0.5,0,5,0,0,0,1,0,840,0,0,7.83E-06,0,0,,0.002389328
8,cyclopentane,0.5,0,5,0,0,0,1,0,870,0,0,1.35E-05,0,0,,0.002389987
8,cyclopentane,0.5,0,5,0,0,0,1,0,900,0,0,1.23E-05,0,0,,0.002395257
8,cyclopentane,0.5,0,5,0,0,0,1,0,930,0,1.33E-05,1.46E-05,0,0,,0.002509881
8,cyclopentane,0.5,0,5,0,0,0,1,0,960,0,4.23E-05,1.61E-05,2.04E-05,2.85E-05,,0.002268775
8,cyclopentane,0.5,0,5,0,0,0,1,0,990,0,0.000114583,2.81E-05,7.24E-05,0.000102855,,0.002172596
8,cyclopentane,0.5,0,5,0,0,0,1,0,1020,1.94E-05,0.000279167,5.65E-05,0.000232394,0.000250544,,0.001890646
8,cyclopentane,0.5,0,5,0,0,0,1,0,1050,6.19E-05,0.000583333,9.71E-05,0.000597586,0.000527461,,0.001491436
8,cyclopentane,0.5,0,5,0,0,0,1,0,1080,0.000156463,0.000889583,9.57E-05,0.001540241,0.000894046,,0.000677207
8,cyclopentane,0.5,0,5,0,0,0,1,0,1110,0.000340136,0.000989583,6.67E-05,0.003863179,0.001426782,,0.000201581
9,cyclohexane,0.5,0,6,0,0,0,1,0,750,0,0,0,0,0,,0.002698238
